CA,CB
0.001,0.047
0.007,0.271
0.009,0.281
0.014,0.303
0.018,0.322
0.02,0.418
0.02,0.473
0.021,0.501
0.022,0.505
0.028,0.537
0.032,0.546
0.034,0.548
0.036,0.571
0.036,0.715
0.041,0.742
0.042,0.768
0.046,0.838
0.046,0.882
0.05,0.888
0.051,0.889
0.051,0.897
0.052,0.923
0.053,0.928
0.056,0.944
0.06,0.944
0.066,0.989
0.069,0.994
0.079,1.003
0.081,1.014
0.081,1.019
0.084,1.039
0.091,1.046
0.1,1.051
0.103,1.071
0.104,1.076
0.106,1.107
0.125,1.128
0.127,1.145
0.152,1.149
0.155,1.24
0.165,1.297
0.176,1.3
0.211,1.35
0.234,1.433
0.247,1.489
0.25,1.593
0.296,1.666
0.302,1.67
0.306,1.782
0.319,1.846
0.328,1.945
0.335,2.105
0.345,2.168
0.346,2.241
0.376,2.289
0.381,2.296
0.41,2.357
0.424,2.391
0.448,2.839
0.451,3.627
0.471,3.632
0.475,4.002
0.548,
0.553,
0.564,
0.573,
0.602,
0.631,
0.636,
0.651,
0.66,
0.665,
0.666,
0.697,
0.706,
0.72,
0.756,
0.773,
0.826,
0.862,
0.869,
0.872,
0.899,
0.949,
0.95,
0.97,
0.985,
0.99,
1.01,
1.036,
1.056,
1.059,
1.062,
1.089,
1.094,
1.133,
1.148,
1.213,
1.239,
1.24,
1.259,
1.276,
1.28,
1.283,
1.293,
1.333,
1.359,
1.362,
1.363,
1.374,
1.407,
1.409,
1.433,
1.447,
1.55,
1.592,
1.595,
1.625,
1.627,
1.641,
1.745,
1.946,
2.042,
2.051,
2.073,
2.62,
2.698,
2.853,
2.879,
2.9,
2.99,
2.997,
3.055,
3.22,
3.4,
3.475,
3.57,
3.896,
6.645,
6.731,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
